name, latitude, longitude, rating, num_reviews, neighborhoods
Explorers Club,39.9298209697,-82.9957263172,4,206, 'Merion Village'
Middle West Spirits,39.98753,-83.004395,4.5,36, 'Short North
C'est Si Bon Café,39.9572505802,-82.9387166351,4.5,28, 'Bexley'
Chadwick Arboretum & Learning Gardens,40.0035193563,-83.0280898511,5,5, 'University District'
Turner's Barber Shop & Shaving Parlor,39.9879035354,-83.0057584494,5,29, 'Short North
Flavors of India,39.9721718,-83.004158,3.5,44, 'Short North'
Bar Louie,39.972496,-83.004211,3,93, 'Short North'
Tensuke Express,40.0508919,-83.0515289,4.5,114, 'Upper Arlington'
Global Gallery,40.0341782586,-83.0168366432,4.5,26, 'Clintonville'
Park Street Tavern,39.97237,-83.004951,3.5,24, 'Short North'
Smokehouse Brewing Co.,39.9741516,-83.0489807,3.5,125, 'Grandview Heights'
Lucky Dragon,40.0193557739,-83.0122299194,3.5,41, 'Clintonville'
First Watch,39.9520187,-82.9984665,3.5,57, 'Brewery District'
Subway,39.9891319,-83.0488434,4,9, 'Grandview Heights'
Taqueria Los Primos,39.9872017,-83.011879,5,5, 'University District
Potbelly Sandwich Shop,39.9949112,-83.0068283,4,12, 'University District'
Street Thyme,39.961391,-82.992012,4,22, 'Discovery District'
Rancho Alegre,39.9725304,-83.044899,3.5,76, 'Grandview Heights'
